Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Europe	26-30	13 - 17	Male	Employed (full time)	No	Bachelor's degree	Somewhat important	Very important	Requirement	Don't care	Very important	Requirement	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, Java, C#, PHP, Kotlin, TypeScript, Lisp, Go	Java, PHP, Kotlin, TypeScript, Go	TypeScript, Lisp, Go	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Game dev, Testing	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Conke-Commander	Yes	Laptop, Desktop	Windows	2	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Very important	Somewhat important	Requirement	Don't care	Very important	Very important	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, HTML, CSS, Rust, TypeScript	JavaScript, C++, Python, C#, TypeScript	Rust, Go	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Mobile dev, Game dev, Testing, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Desktop	Linux	3	Never			Other	Strongly Agree	Somewhat disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	18-21	13 - 17	Rather not say	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	C++, HTML, CSS, Rust, Assembly	Rust	Elixir	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Mobile dev, Embedded Systems, Cyber security, Game dev	Another discord server	2-3 years	Helping other programmers	Conke-Commander		Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Not sure	Somewhat	Not sure	Somewhat disagree	No	This information will be kept private.
Europe	22-25	13 - 17	Female	Employed (part time)	Yes	College/University study without earning a degree	Requirement	Somewhat important	Somewhat important	Don't care	Requirement	Requirement	Somewhat important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, C#, PHP, TypeScript, Haskell, Assembly	Python, HTML, CSS, TypeScript	Rust	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Data Science	Through a friend/colleague	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Bepis-Drinker	Yes	Laptop	Windows	2	Less than once per month but more than once per year	To improve my knowledge	I'm happy with my current level of open source contribution		Strongly disagree	Somewhat disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	No	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Very important	Somewhat important	Requirement	Very important	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Ruby	Java, Python	C#, Kotlin, Haskell		Fintech, Data Science, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers	Conke-Commander	No but I'd like to be	Laptop, Desktop	Windows	3	Less than once per year	To give back to the community, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	Somewhat disagree	Yes	This information will be kept private.
Asia	18-21	13 - 17	Male	Rather not say	Yes	Secondary/high school	Requirement	Requirement	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, TypeScript	Rust	I have lots of projects on the go. Switching between them keeps me motivated	Web dev	Discord server discovery	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	No but I'd like to be	Desktop	Linux	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	Yes	This information will be kept private.
North America	22-25	13 - 17	Other	Student (full time)	Yes	College/University study without earning a degree	Don't care	Don't care	Don't care	Don't care	Don't care	Don't care	Don't care	Don't care	Requirement	Don't care	This information will be kept private.	C++, Haskell	C++, C#	Java, Assembly, Ruby	I have lots of projects on the go. Switching between them keeps me motivated	Data Science, Testing	Discord server listing website	3+ years	Chatting with other programmers, Getting help with programming problems, Lurking	Community-Member	No but I'd like to be	Desktop	Windows	2	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	13-17	< 13	Male	Student (part time)	Yes	Secondary/high school	Somewhat important	Requirement	Somewhat important	Requirement	Very important	Requirement	Requirement	Requirement	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, TypeScript, Go, Other	JavaScript, Java	C++, C	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Data Science, Game dev, Artificial Intelligence	Other	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	Yes	Laptop, Mobile	Linux	2	A least once per month	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	26-30	22 - 25	Male	Employed (internship)	Yes	Bachelor's degree	Very important	Somewhat important	Somewhat important	Somewhat important	Requirement	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, TypeScript	JavaScript, Java, Python	Haskell	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Testing, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Getting help with programming problems	Active		Laptop, Desktop	Windows	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Not sure	Not sure	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	No	This information will be kept private.
North America	13-17	13 - 17	Male	Student (part time)	Yes	Secondary/high school	Very important	Requirement	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, HTML, CSS, TypeScript, Assembly, Other	JavaScript, HTML, CSS, TypeScript	Rust, Other	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Mobile dev, Data Science, Cyber security, Game dev, Other	Another discord server	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	No but I'd like to be	Laptop, Desktop, Mobile	Windows	1	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Not sure	Somewhat	Somewhat	Strongly Agree	Somewhat	Somewhat disagree	Yes	This information will be kept private.
North America	26-30	22 - 25	Male	Employed (full time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Very important	Don't care	Requirement	Requirement	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	Python, HTML, CSS	Python	JavaScript, C++, C#	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Data Science, Cyber security, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Laptop	Mac	1	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	18 - 21	Male	Student (full time)	No	Bachelor's degree	Requirement	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	Requirement	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS, C#	Java	Kotlin	Other	Mobile dev, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Helping other programmers, Getting help with programming problems	Chatterbox		Laptop	Windows	1	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	26-30	< 13	Male	Employed (full time)	Yes	College/University study without earning a degree	Requirement	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS, C#, Kotlin, TypeScript	Java, Kotlin	Kotlin, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Pharmaceuticals, Robotics, Web dev, Cyber security, Game dev	Another discord server	3+ years	Lurking	Active		Laptop	Mac	3	A least once per month	To fix issues in libraries I use	I would like to only contribute to open source projects								No	This information will be kept private.
Europe	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Very important	Somewhat important	Somewhat important	Very important	Requirement	Very important	Very important	Requirement	Requirement	This information will be kept private.	JavaScript, HTML, CSS, PHP	JavaScript, HTML, CSS, PHP	TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Through a friend/colleague	1-2 years	Getting help with programming problems, Lurking	I don't have a role :(		Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	18-21	13 - 17	Male	Employed (part time)	Yes	Secondary/high school	Very important	Somewhat important	Very important	Don't care	Very important	Requirement	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Kotlin, Rust, TypeScript, Haskell, Other	Java, PHP, Kotlin, Rust, TypeScript	PHP, Lisp	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Embedded Systems, Cyber security, Artificial Intelligence, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	Yes	Laptop	Linux	1	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	18-21	13 - 17	Male	Student (part time)	Yes	Secondary/high school	Very important	Requirement	Very important	Don't care	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, Go	JavaScript, Java, Go	Kotlin, Rust, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Embedded Systems, Cyber security	Other	2-3 years	Helping other programmers, Getting help with programming problems	Chatterbox		Laptop, Desktop	Linux	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	No	This information will be kept private.
Europe	31-40	18 - 21	Male	Employed (part time)	Yes	Master's degree	Requirement	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	This information will be kept private.	Python, Lisp, Other	Python, Lisp		I start a project but quickly lose motivation and usually don't complete a project	Game dev	Discord server listing website	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Super-Talky		Laptop, Desktop	Linux	2	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat disagree	Somewhat disagree	Somewhat disagree	Not sure	Not sure	Not sure	Yes	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Requirement	Requirement	Somewhat important	Somewhat important	Very important	Very important	Requirement	Requirement	Somewhat important	Very important	This information will be kept private.	Java	Java	JavaScript, Python	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Data Science, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	Yes	Laptop, Desktop	Windows	1	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	26-30	18 - 21	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Somewhat important	Very important	Somewhat important	Requirement	Requirement	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Kotlin, Other	JavaScript, Java, Kotlin, TypeScript	Rust, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Data Science, Other	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Lurking	I don't have a role :(	No but I'd like to be	Laptop	Windows	3	Never			I don't feel comfortable with my ability, I don't have the time, Other	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
North America	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Don't care	Don't care	Somewhat important	Very important	Somewhat important	Requirement	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, Other	Other	Python	I have lots of projects on the go. Switching between them keeps me motivated	Embedded Systems, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Super-Talky	Yes	Laptop	Windows	2	Never			Other	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	18-21	< 13	Male	Student (full time)	Yes	Associate degree	Very important	Somewhat important	Very important	Don't care	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	Don't care	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, TypeScript, Haskell, Assembly	Python, Haskell	JavaScript, C++, HTML, CSS, Rust, TypeScript, Lua, Assembly, Elixir, Other	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Data Science, Game dev, Artificial Intelligence	Other	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	Yes	Laptop, Desktop	Windows	2	Never			I don't have the time, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
Europe	31-40	26+	Male	Employed (full time)	Yes	Master's degree	Requirement	Somewhat important	Requirement	Don't care		Requirement	Requirement	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, HTML, CSS, PHP	PHP	C, Other	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Other	Through a friend/colleague	0-1 years	Helping other programmers	I don't have a role :(	Yes	Desktop	Mac	1	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	No	This information will be kept private.
Europe	18-21	13 - 17	Male	Employed (internship)	Yes	Rather not say	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Very important	Requirement	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Rust, Assembly	JavaScript, Python, C, HTML, CSS	Rust, Assembly, Go	I need to have some collaborators in order to keep myself motivated	Data Science, Cyber security, Artificial Intelligence	Other	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	Yes	Laptop	Windows	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	No, I didn't know they were enabled	This information will be kept private.
North America	22-25	18 - 21	Male	Employed (full time)	Yes	College/University study without earning a degree	Requirement	Very important	Requirement	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, Python, TypeScript, Haskell, Ruby, Other	JavaScript, TypeScript, Haskell, Ruby	Other	I need to have some collaborators in order to keep myself motivated	Fintech, Web dev, Data Science, Artificial Intelligence	Another discord server	0-1 years	Helping other programmers	Super-Talky	No but I'd like to be	Laptop	Linux	1	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
North America	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Other	Java, Python, Other	Kotlin	I start a project but quickly lose motivation and usually don't complete a project	Mobile dev, Game dev, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	Yes	Laptop, Desktop, Mobile	Windows	4+	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	Secondary/high school	Somewhat important	Don't care	Very important	Somewhat important	Don't care	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C#, Kotlin, Go, Ruby	C#, Ruby		I start a project but quickly lose motivation and usually don't complete a project	Web dev, Cyber security	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Lurking	Bepis-Drinker	Yes	Laptop	Windows	2	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Somewhat	Not sure	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Oceania	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Very important	Don't care	Somewhat important	Requirement	Very important	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Rust, TypeScript, Go, Other	JavaScript, Python, TypeScript	C#, Kotlin, Rust, Other	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Mobile dev, Data Science, Game dev	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox		Laptop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	13-17	< 13	Male	Employed (part time)	Yes	Rather not say	Very important	Somewhat important	Don't care	Somewhat important	Requirement	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#	C++, Python, C#	C++, C#	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Data Science, Game dev, Testing, Other	Discord server discovery	1-2 years	Helping other programmers, Getting help with programming problems	Active	Yes	Laptop, Desktop	Windows	2	Less than once per year	To improve my knowledge, Other	I would like to contribute to more open source projects		Somewhat	Somewhat	Not sure	Strongly Agree	Not sure	Strongly Agree	Yes	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Don't care	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	Java, Python, C, TypeScript, Haskell, Other	Python	Rust, Elixir, Other	I commit to a project until I reach a defined end goal before moving on to the next	Testing, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Conke-Commander	No but I'd like to be	Laptop, Mobile	Windows	1	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School											This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, Kotlin, TypeScript, Go	JavaScript, Python, C#, TypeScript, Go	Ruby	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Embedded Systems, Cyber security, Game dev	Discord server discovery	0-1 years	Chatting with other programmers, Getting help with programming problems, Lurking	Active	Yes	Laptop, Desktop	Windows	1	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	No	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (part time)	Yes	Primary/elementary School	Requirement	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Requirement	Very important	Very important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, HTML, CSS, TypeScript	Rust	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Game dev	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Community-Member	Yes	Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	31-40	18 - 21	Male	Employed (full time)	No	Bachelor's degree	Very important	Somewhat important	Somewhat important	Don't care	Somewhat important	Very important	Very important	Somewhat important	Don't care	Requirement	This information will be kept private.	JavaScript	JavaScript	JavaScript, Kotlin, TypeScript	I need to have some collaborators in order to keep myself motivated	Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Patriotic-Procrastinator	Yes	Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important		Somewhat important	Somewhat important	Very important	Very important	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript	Python, Kotlin, Rust, TypeScript	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Data Science, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Rather not say	22-25	13 - 17	Male	Student (part time)	Yes	Master's degree	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Requirement	Requirement	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Lisp, Elixir, Other	Other	Rust, Haskell, Assembly	Other	Mobile dev, Embedded Systems, Cyber security, Testing	Discord server discovery	0-1 years	Helping other programmers	Community-Member		Laptop, Desktop	Linux	1	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution								No	This information will be kept private.
North America	26-30	< 13	Male	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Requirement	Requirement	Don't care	Don't care	Very important	Very important	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, Ruby	JavaScript, Python, PHP, Ruby	Kotlin, Rust, Haskell, Lua, Lisp, Go, Elixir	Other	Web dev, Data Science, Cyber security	Another discord server	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	No but I'd like to be	Laptop	Linux	2	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Somewhat	Somewhat disagree	Not sure	No	This information will be kept private.
Europe	18-21	< 13	Male	Employed (part time)	Yes	College/University study without earning a degree	Very important	Requirement	Somewhat important	Very important	Very important	Somewhat important	Requirement	Very important	Very important	Very important	This information will be kept private.	JavaScript, HTML, CSS, PHP, TypeScript	JavaScript, HTML, CSS, TypeScript	Rust	I need to have some collaborators in order to keep myself motivated	Web dev, Testing	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Super-Talky	No but I'd like to be	Laptop, Desktop	Linux	3	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	No	This information will be kept private.
Europe	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Requirement	Don't care	Somewhat important	Very important	Requirement	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, TypeScript	JavaScript, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Pharmaceuticals, Web dev, Embedded Systems, Other	Another discord server	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Patriotic-Procrastinator	Yes	Laptop, Desktop, Mobile	Linux	1	Less than once per year	Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Oceania	22-25	18 - 21	Male	Student (full time)	Yes	Secondary/high school	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS	Python	TypeScript	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Data Science	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Patriotic-Procrastinator	Yes	Laptop	Windows	1	Less than once per year	To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
