Where are you from?	How old are you?	What age did you start programming?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home?	Which language(s) would you say you are most proficient in?	What is your favourite language and why?	What is your least favourite language and why?	Which language/framework/tool would you like to learn over the next year?	If you work on personal projects, which of these best describes your approach?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?	What language(s) would you like to see TPH make an open source project in?	Do you have any ideas for projects TPH could start?	Why have you not contributed to open source projects?	Which of our network servers are you a part of?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	What improvements would you like to suggest to the moderation team? (if any)	What spotlight would you like to see next on TPH? (It can be any language/framework/library/tool/technology)	What new channel you would like to see on TPH?	What is your favourite thing about TPH?	What is your least favourite thing about TPH?	Do you have any other comments you'd like to give to the moderation team?
Asia	18-21	18 - 21	Student (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Very important	Requirement	Requirement	Requirement	Requirement	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Python	C++, Python	Python, because its easy.	HTML, CSS. I am not so good at designing stuff, naturally I will hate it.	Qt with C++.	I need to have some collaborators in order to keep myself motivated	Less than once per year	To learn how to work as a team and build up skills	I would like to contribute to more open source projects	Yes	Any language, I am ready to learn some new things	Learning and building a GUI.	N/A	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	compilers	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Don't care	Don't care	Somewhat important	Very important	Very important	Don't care	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, Kotlin, Rust, TypeScript, Haskell, Assembly, Go, Elixir, Bash, Crystal, Zig	JavaScript, C++, Java, Python, C, HTML, CSS, Kotlin, TypeScript, Go	I don't have one anymore, I think they all have flaws.	Java, because it really doesn't seem to put much effort into trying to make developers' lives easier for a high-level language, especially Java <=8, and alternative JVM languages had already matured very well after Java 8. Moreover, the Java ecosystem is seemingly all about overcomplicating everything.	Maybe better Elixir and Zig.	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	Because I use that open source software myself, although I once contributed to an open source project that I didn't use because a friend used it and there was a feature he wanted to add to it but he wasn't proficient in the language the project was written in so he asked me if I could do it instead.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly disagree	This information will be kept private.	The Zig programming language.	#linux-kernel: help with configuring the Linux kernel because I need help with that right now.	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Employed (full time)	Yes	Associate degree	Requirement	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, Lua	C++, Lua	C++, the robustness and bare metal feeling gives me a great sense of control.	Java. everything is just so verbose to me and the level of abstraction away from the hardware makes me uncomfortable.	Rust	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	To help the projects i care about.	I would like to contribute to more open source projects	Yes - If it was a language I know	C++	N/A	N/A	DiscordKt, Controversy Central, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	SFML	Code Review, to help with general design/flow rather than language specific issues.	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	< 13	Student (full time)	Yes	Associate degree	Very important	Very important	Don't care	Somewhat important	Don't care	Very important	Very important	Somewhat important	Somewhat important	Requirement	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Rust, TypeScript, SQL	JavaScript, C++, HTML, CSS, C#, TypeScript	C++ because it has a lot of freedom	C++ because it has too much freedom	Rust & Swift	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	To add functionality that I need for my own project	I would like to contribute to more open source projects	No	Rust	N/A	N/A	Controversy Central	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	< 13	Employed (part time)	Yes	Associate degree	Very important	Somewhat important	Somewhat important	Don't care	Requirement	Requirement	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, C, C#, Kotlin	Java, Kotlin, Assembly	Kotlin, it's just clean and easy to code in	Assembly, it's a PITA	C#	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	because there are improvements I want to see in the projects	I'm happy with my current level of open source contribution	Yes - If it was a language I know	Kotlin	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Secondary/high school	Very important	Very important	Requirement	Don't care	Somewhat important	Requirement	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, TypeScript	JavaScript, Java, TypeScript	TypeScript because I love coding in JavaScript but TypeScript helps me prevent errors and I get auto completion.	Python because I just find the syntax a lot more different from other languages I like, like Java, JS, TS.	React	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Just happens I work on a project that I'm fine with being open sourced.	I would like to contribute to more open source projects	Yes - If it was a language I know	Javascript or Typescript	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	Next JS	Open Sourced projects I can contribute to	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	< 13	Employed (full time)	Yes	Associate degree	Requirement	Requirement	Very important	Don't care	Somewhat important	Very important	Requirement	Don't care	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Kotlin, TypeScript, Go	Go	Go	PHP	N/A	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Fun	I would like to contribute to more open source projects	Yes - If it was a language I know	Go	Full fledged online RPG game (HTML5) w/ several microservices in different programming languages	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Somewhat disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (part time)	Yes	Primary/elementary School	Requirement	Somewhat important	Don't care	Don't care	Very important	Very important	Requirement	Requirement	Requirement	Very important	This information will be kept private.	JavaScript, C++, Python	Python	Python, it's easy and a good beginner language.	N/A	More JS.	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, Python, HTML, CSS, PHP, TypeScript	JavaScript, Python, HTML, CSS	Python , just worked with it the longest and currenlty love the way it works	Java , it’s just weird	C# or C++	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	To help improve myself and to contribute and help others	I would like to contribute to more open source projects	Yes - If it was a language I know	Python , HTML, CSS , JavaScript	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (part time)	Yes	Primary/elementary School	Somewhat important	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, TypeScript, Haskell	JavaScript, Java, Python	Js because of the freedoms and almost no restrictions	N/A	C and Next.js	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, Kotlin, TypeScript	Java, Python	Java. Whilst verbose, Java's strong typing (for me originally as a beginner and still to this day) helps a lot with writing code which is both readable and less prone to errors due to type inference. That being said, Java's need for paradigms to exist isn't ideal but being encouraged to learn them by the language allows me to develop my skills in software design.	N/A	I'd like to learn another language, probably a functional language such as Scala. For a framework, either Spring or learning more about the JDBC and redis.	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	For the community and for self-interest.	I would like to contribute to more open source projects	Yes - If it was a language I know	Not sure, but since I'm only proficient in Java, that would be my answer.	N/A	N/A	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Strongly Agree	Not sure	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	13 - 17	Employed (full time)	Yes	Secondary/high school	Somewhat important	Very important	Very important	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	This information will be kept private.	JavaScript, HTML, CSS, PHP	JavaScript, HTML, PHP	i love php, because that's my first language	javascript, i don't know but javascript is fun	i want learn vue js	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	13 - 17	Student (full time)	Yes	I'm a junior in high school (my 2nd to last year)	Very important	Very important	Don't care	Somewhat important	Requirement	Requirement	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, TypeScript, Assembly	JavaScript, C++, Java, HTML, CSS, TypeScript	TypeScript, since I started out using JS at first and realized the joy of having a strongly typed scripting language. I also prefer scripting languages currently since I am working more on the frontend of things.	CSS for me is honestly a pain to work with since most times when I try to accomplish something it ends up breaking, or getting too complex when attributes get mixed up.	I definitely want to start looking into the backend of things as well, so C would be my choice.	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Open source projects force me to adapt to other people's code which better enhances my understanding of the language. Moreover, I think it is always good practice to contribute for practice, and to further someone's project that could be very beneficial to the community.	I would like to contribute to more open source projects	Yes - If it was a language I know	Java, C, C++	It might be out there - but either a new programming language either from scratch or as a superset of another language (compiles down to that language like TypeScript to JavaScript). And an operating system that would have many pieces to it, like Assembly, C, etc.	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Strongly Agree	This information will be kept private.	Something relating to AI and machine learning	find-a-team -- This would let people find a group to program with, especially if they have a closed source project, or just want to meet a group to program with throughout their time, and work on projects with.	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Somewhat important	Don't care	Don't care	Very important	Very important	Very important	Requirement	Very important	Very important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Go	Java	Go. It's quick and easy to write and is very flexible.	Python. I hate the fact that there are not brackets.	Go	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Requirement	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, TypeScript, Lua	JavaScript, HTML, CSS, TypeScript, Lua	Probably JavaScript. I know it gets a lot of hate throughout the programming community, but it is a very flexible language that powers a ton of frameworks and tools (i.e. node.js, react, and many more).	I'm not too familiar with many programming languages, but of the ones I am familiar with, probably CSS, just because of how boring and repetitive it is. When I have to style something with CSS, it often feels like "ugh why do I have to do this".	More of Java. I've been learning it in school, and I would like to get more comfortable with it.	I start a project but quickly lose motivation and usually don't complete a project	A least once per month	Most of the ones I put out are open source, but sometimes I contribute to others' open source projects just so that they can become a better tool usable by everyone.	I would like to contribute to more open source projects	Yes - If it was a language I know	JavaScript, but I'm biased	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C#, TypeScript	JavaScript, Python, TypeScript	Javascript, i love its flexibility. Python is cool and all but meh	C#. I never actually completed it and I have not worked with it as much. I decided to learn a strong language but lost interest very quickly	Java for android dev	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per year	It feels like leaving a mark, knowing that I helped build something makes me happy	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	Controversy Central, Late Gaming	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Somewhat disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	26-30	18 - 21	Employed (full time)	Yes	Bachelor's degree	Very important	Don't care	Somewhat important	Don't care	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, Kotlin	Java, Python, Kotlin	Java since it was the first one I got a good grasp on	C# because of its styling conventions	Machine learning	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	Clout	I would like to contribute to more open source projects	Yes - If it was a language I know	Python, Java	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Strongly disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Don't care	Very important	Don't care	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Kotlin, Rust, TypeScript, Lua, Lisp, Elixir	JavaScript, C++, Java, Python, HTML, CSS, Rust, TypeScript	Rust is my favorite language because I love the syntax and the error-checking which is very helpful, and I feel like I can do my favorite category of programming in it easier - networking. The built-in standard library is extremely simple to use and traits are a very helpful language feature.	My least favorite language is Java as it has breaking changes and I never found a way to easily switch between versions without breaking other applications. The syntax also feels like it is much longer to write than other languages.	rocket.rs	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	I normally contribute to open source projects if I am having an issue with a library I was going to use, and it was not being actively maintained.	I would like to contribute to more open source projects	Yes - If it was a language I know	Rust, Javascript, Python	N/A	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, Assembly, Go	Python, HTML, CSS, Go	Python, because I have a lot of experience with it.	Java, because of my high school teacher	Cloud computing	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	To have fun and to collaborate/communicate with thr community	I would like to contribute to more open source projects	Yes - If it was a language I know	Python	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Talks like the pen-tester hangouts have.	Gaming setups text channel!	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	26-30	13 - 17	Employed (part time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, Rust, TypeScript, Powershell, bash, dart	JavaScript, Python, Rust, TypeScript, Powershell	Rust, because of the elegant design, strong types, and runtime speed	Bash, it's too unstructured	Android dev	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per year	It keeps them alive.	I would like to contribute to more open source projects	No	Rust	N/A	N/A	Late Gaming	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Employed (internship)	Yes	Associate degree	Very important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS, PHP, TypeScript	PHP	Because I have a lot of experience with PHP	Java, because its verbose and I started to dislike OOP languages	React	I commit to a project until I reach a defined end goal before moving on to the next	Several times per week	To fix the bug that has been hindering me.	I'm happy with my current level of open source contribution	No	PHP	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	N/A	Symfony 😏	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	< 13	Employed (full time)	Yes	Secondary/high school	Somewhat important	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Assembly, Go, Ruby	JavaScript, C++, Python, HTML, CSS, C#, PHP	C++, because errors make sense and no I won't talk about templating errors	ruby, it's too flexible/"human language like" for my taste	React or/and elixir	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	just for fun and to kill time, it's so rare I could've just chosen no	I'm happy with my current level of open source contribution	No	Go	N/A	N/A	Controversy Central, Late Gaming, The Pentester's Hangout	Somewhat	Somewhat	Not sure	Somewhat	Strongly Agree	Strongly Agree	This information will be kept private.	do one about pubsubs	add dart/flutter channel already	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	< 13	Employed (part time)	Yes	Secondary/high school	Requirement	Very important	Very important	Don't care	Somewhat important	Requirement	Requirement	Somewhat important	Very important	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, C#, PHP	Python, C#	Python, I like how easy it is	Javascript, It's annoying	Probably java	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't have the time, I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Somewhat	Not sure	Somewhat	Strongly Agree	This information will be kept private.	N/A	Discord.py	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	< 13	Employed (full time)	Yes	Master's degree	Requirement	Somewhat important	Somewhat important	Don't care	Somewhat important	Requirement	Don't care	Requirement	Somewhat important	Requirement	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Rust, TypeScript, Lua, Assembly, Lisp	JavaScript, Java, Rust	Rust because of the safety guarantees it offers	PHP because it has many flaws	Haskell	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	To improve the quality of these projects	I would like to contribute to more open source projects	Yes	N/A	N/A	N/A	Late Gaming	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	Maybe a sideproject discussion channel but maybe that would be redundant with other social channels	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Employed (internship)	Yes	Master's degree	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Don't care	Requirement	Don't care	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, TypeScript	JavaScript, TypeScript	Typescript, I enjoy web development and this is a strictly-typed language!	Java, too complicated for simple projects.	Rust	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	I enjoy working on projects that are used by others.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	18 - 21	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Very important	Somewhat important	Don't care	Very important	Very important	Very important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Haskell, Lua, Lisp, Go, Ruby, Elixir, Raku, Bash, F#, OCaml, Julia, Nim, Scala, Dart, ReasonML	JavaScript, Java, Python, HTML, CSS, PHP	JavaScript, because I like dynamic and imperative languages. It's also pretty much my main tool since I'm a web dev.	Lisps, because i dislike lisp syntax so very much.	Probably Elixir. It had cool concepts and can be used for a very wide range of things. Also I would like to learn more functional programming.	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per year	If I use some project and find something I could improve, I might want to share it with others.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	Controversy Central, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Employed (internship)	Yes	Secondary/high school	Very important	Requirement	Somewhat important	Somewhat important	Requirement	Requirement	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, Kotlin, Rust, TypeScript, Haskell, Lua, Assembly, Lisp, Go, Elixir, Passerine, ML-Style languages, GLSL, and others.	Python, Rust, Lisp, Passerine	Either Rust or Good ol' Scheme. Both are high-level yet performant languages that allow you to deeply learn about, understand, and even take control of their internals.	PHP or Java — I've worked with both - Java could be so much more smalltalk, PHP so much more pascal. There's something a bit off, and arguably both tools have been usurped by better technologies.	Koka	I have lots of projects on the go. Switching between them keeps me motivated	Several times per week	Most of my work is open source; most of the tools I rely on are open source; therefore, most of what I do is open-source.  I like being able to introspect the internals of everything, and open-source allows you to inspect and improve the tools you depend upon on a day to day basis.	I would like to contribute to more open source projects	Yes	Rust	Sandboxed code evaluation bot? ¯\_(ツ)_/¯	N/A	The Pentester's Hangout, None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Somewhat disagree	This information will be kept private.	Rust's Tokio	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	13 - 17	Student (full time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Very important	Very important	Very important	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	Python, HTML, CSS, C#, Rust, Go	Python, HTML, CSS, Go	Go or Python because its easy to  complete projects and the code is always readable. Its also easy to work in a team.	Html, CSS, C# I dislike Frontend and the syntax of C languages	Kotlin	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	I like to work in teams and improve tools i use	I would like to contribute to more open source projects	Yes - If it was a language I know	Go	A website + API for the Community (forum + personal pages)	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Ktor	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Requirement	Don't care	Somewhat important	Requirement	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Kotlin, Rust, Lua, Assembly, Go	Java, Kotlin, Rust, Assembly, Go	Assembly, I prefer the low levels.	Python, too high level.	Haskell, more Rust	I commit to a project until I reach a defined end goal before moving on to the next	Several times per week	Giving back to the community.	I would like to only contribute to open source projects	Yes - If it was a language I know	Assembly	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Don't care	Very important	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, C#	C++	Python. Pretty much can do anything without writing thousands of lines of code for most things	Fucking javascript, god forbidden land of languages. So horrible but cant go without it.	Django or Flask.	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Somewhat disagree	Not sure	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	N/A	A channel to ask anything without getting buried in a dozen messages of spam	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	13 - 17	Student (full time)	Yes	College/University study without earning a degree	Very important	Don't care	Don't care	Don't care	Very important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP	C++, C, HTML, CSS	C++, because I am most familiar with it, and it is fast and powerful.	I havent explored enough languages to have a least favorite.	I would like to learn more about Haskell	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Haskell	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
